name,company,year,kms_driven,fuel_type,Price
Honda Amaze,Honda,2014,37000,Petrol,299999
Hyundai Eon D,Hyundai,2018,35000,Petrol,280000
Tata Indigo LS,Tata,2016,70000,Diesel,125000
Tata Zest Quadrajet,Tata,2017,90000,Diesel,180000
Hyundai Grand i10,Hyundai,2014,41000,Petrol,410000
Hyundai Verna Fluidic,Hyundai,2011,43000,Diesel,365000
Maruti Suzuki Swift,Maruti,2010,38500,Diesel,189500
Maruti Suzuki Alto,Maruti,2015,38000,Petrol,220000
Mahindra Scorpio S10,Mahindra,2015,97200,Diesel,900000
Tata Manza Aqua,Tata,2014,200000,Diesel,160000
Toyota Etios Liva,Toyota,2011,41000,Petrol,239999
Mahindra Logan Diesel,Mahindra,2009,66000,Petrol,130000
Mini Cooper S,Mini,2013,13000,Petrol,1891111
Maruti Suzuki Ritz,Maruti,2014,19000,Petrol,299999
Hyundai Creta,Hyundai,2016,60000,Diesel,900000
Honda Amaze,Honda,2013,46000,Diesel,284999
Maruti Suzuki Alto,Maruti,2015,12000,Petrol,265000
Tata Indica eV2,Tata,2016,91200,Diesel,50500
Maruti Suzuki Wagon,Maruti,2013,29685,Petrol,85000
Tata Sumo Gold,Tata,2013,100000,Petrol,215000
Audi A4 1.8,Audi,2009,47000,Petrol,699000
Fiat Petra ELX,Fiat,2008,65000,Petrol,75000
Maruti Suzuki Alto,Maruti,2014,35550,Petrol,160000
Chevrolet Beat,Chevrolet,2015,30000,Petrol,150000
Tata Manza Aura,Tata,2012,72000,Diesel,130000
Maruti Suzuki Esteem,Maruti,2007,51000,Petrol,69999
BMW 5 Series,BMW,2009,37518,Petrol,650000
Maruti Suzuki Swift,Maruti,2007,62000,Petrol,130000
Mahindra XUV500 W10,Mahindra,2016,41000,Diesel,1065000
Maruti Suzuki Vitara,Maruti,2017,36000,Diesel,725000
Chevrolet Sail 1.2,Chevrolet,2013,28000,Petrol,300000
Mahindra Scorpio SLE,Mahindra,2012,62000,Diesel,565000
Maruti Suzuki Ritz,Maruti,2013,33000,Diesel,399999
Maruti Suzuki Dzire,Maruti,2013,35000,Petrol,380000
Hindustan Motors Ambassador,Hindustan,1995,37000,Petrol,750000
Audi A6 2.0,Audi,2012,11500,Diesel,1599000
Maruti Suzuki Swift,Maruti,2014,35000,Petrol,390000
Mahindra Quanto C8,Mahindra,2013,37000,Diesel,340000
Mahindra Scorpio 2.6,Mahindra,2007,170000,Diesel,220000
Tata Zest XE,Tata,2018,102563,Diesel,450000
Mahindra Scorpio 2.6,Mahindra,2007,56000,Diesel,260000
Tata Indica V2,Tata,2005,80000,Diesel,60000
Renault Duster 110,Renault,2013,39000,Diesel,435000
Renault Duster 85,Renault,2015,51000,Diesel,385000
